id,silhouette_score,eps,min_samples,algorithm,min_samples,procent_cal
215,0.6406477715378767,0.3,l1,kd_tree,25,0.850625
216,0.06550765047422842,0.4,l1,kd_tree,5,0.000625
217,0.1597358019502662,0.4,l1,kd_tree,10,0.011875
218,0.15008796434336355,0.4,l1,kd_tree,15,0.099375
219,0.3800561008286193,0.4,l1,kd_tree,20,0.29625
220,0.42864409119479124,0.4,l1,kd_tree,25,0.533125
221,0.8204414882923589,0.1,l1,brute,5,0.76125
222,0.9863265187590117,0.1,l1,brute,10,0.985625
223,-1,0.1,l1,brute,15,1.0
224,-1,0.1,l1,brute,20,1.0
225,-1,0.1,l1,brute,25,1.0
226,0.3611333658365748,0.2,l1,brute,5,0.188125
227,0.5078362533473202,0.2,l1,brute,10,0.661875
228,0.857950658349554,0.2,l1,brute,15,0.938125
229,0.9698653599214957,0.2,l1,brute,20,0.97375
230,-1,0.2,l1,brute,25,1.0
231,-0.19330103801717322,0.3,l1,brute,5,0.0075
232,0.246196220616447,0.3,l1,brute,10,0.1775
233,0.39029281947549255,0.3,l1,brute,15,0.52875
234,0.4959429861777547,0.3,l1,brute,20,0.72375
235,0.6406477715378767,0.3,l1,brute,25,0.850625
236,0.06550765047422842,0.4,l1,brute,5,0.000625
237,0.1597358019502662,0.4,l1,brute,10,0.011875
238,0.15008796434336355,0.4,l1,brute,15,0.099375
239,0.3800561008286193,0.4,l1,brute,20,0.29625
240,0.42864409119479124,0.4,l1,brute,25,0.533125
241,0.7244484263628753,0.1,l2,auto,5,0.63625
242,0.9204972488808666,0.1,l2,auto,10,0.94125
243,-1,0.1,l2,auto,15,1.0
244,-1,0.1,l2,auto,20,1.0
245,-1,0.1,l2,auto,25,1.0
246,0.0968306421633878,0.2,l2,auto,5,0.04625
247,0.37391313216264327,0.2,l2,auto,10,0.40375
248,0.5216722763867446,0.2,l2,auto,15,0.71875
249,0.8428169683514102,0.2,l2,auto,20,0.91625
250,-1,0.2,l2,auto,25,1.0
251,0.10551145323511579,0.3,l2,auto,5,0.000625
252,0.09364398124932814,0.3,l2,auto,10,0.03625
253,0.2619564796073074,0.3,l2,auto,15,0.161875
254,0.43548768942876404,0.3,l2,auto,20,0.393125
255,0.44680686019708676,0.3,l2,auto,25,0.594375
256,0.06547974238735041,0.4,l2,auto,5,0.0
257,0.06535461658580653,0.4,l2,auto,10,0.001875
258,0.06651135955043706,0.4,l2,auto,15,0.01
259,0.1947622793684552,0.4,l2,auto,20,0.03875
260,0.41405885194124115,0.4,l2,auto,25,0.156875
261,0.7244484263628753,0.1,l2,ball_tree,5,0.63625
262,0.9204972488808666,0.1,l2,ball_tree,10,0.94125
263,-1,0.1,l2,ball_tree,15,1.0
264,-1,0.1,l2,ball_tree,20,1.0
265,-1,0.1,l2,ball_tree,25,1.0
266,0.0968306421633878,0.2,l2,ball_tree,5,0.04625
267,0.37391313216264327,0.2,l2,ball_tree,10,0.40375
268,0.5216722763867446,0.2,l2,ball_tree,15,0.71875
269,0.8428169683514102,0.2,l2,ball_tree,20,0.91625
270,-1,0.2,l2,ball_tree,25,1.0
271,0.10551145323511579,0.3,l2,ball_tree,5,0.000625
272,0.09364398124932814,0.3,l2,ball_tree,10,0.03625
273,0.2619564796073074,0.3,l2,ball_tree,15,0.161875
274,0.43548768942876404,0.3,l2,ball_tree,20,0.393125
275,0.44680686019708676,0.3,l2,ball_tree,25,0.594375
276,0.06547974238735041,0.4,l2,ball_tree,5,0.0
277,0.06535461658580653,0.4,l2,ball_tree,10,0.001875
278,0.06651135955043706,0.4,l2,ball_tree,15,0.01
279,0.1947622793684552,0.4,l2,ball_tree,20,0.03875
280,0.41405885194124115,0.4,l2,ball_tree,25,0.156875
281,0.7244484263628753,0.1,l2,kd_tree,5,0.63625
282,0.9204972488808666,0.1,l2,kd_tree,10,0.94125
283,-1,0.1,l2,kd_tree,15,1.0
284,-1,0.1,l2,kd_tree,20,1.0
285,-1,0.1,l2,kd_tree,25,1.0
286,0.0968306421633878,0.2,l2,kd_tree,5,0.04625
287,0.37391313216264327,0.2,l2,kd_tree,10,0.40375
288,0.5216722763867446,0.2,l2,kd_tree,15,0.71875
289,0.8428169683514102,0.2,l2,kd_tree,20,0.91625
290,-1,0.2,l2,kd_tree,25,1.0
291,0.10551145323511579,0.3,l2,kd_tree,5,0.000625
292,0.09364398124932814,0.3,l2,kd_tree,10,0.03625
293,0.2619564796073074,0.3,l2,kd_tree,15,0.161875
294,0.43548768942876404,0.3,l2,kd_tree,20,0.393125
295,0.44680686019708676,0.3,l2,kd_tree,25,0.594375
296,0.06547974238735041,0.4,l2,kd_tree,5,0.0
297,0.06535461658580653,0.4,l2,kd_tree,10,0.001875
298,0.06651135955043706,0.4,l2,kd_tree,15,0.01
299,0.1947622793684552,0.4,l2,kd_tree,20,0.03875
300,0.41405885194124115,0.4,l2,kd_tree,25,0.156875
301,0.7244484263628753,0.1,l2,brute,5,0.63625
302,0.9204972488808666,0.1,l2,brute,10,0.94125
303,-1,0.1,l2,brute,15,1.0
304,-1,0.1,l2,brute,20,1.0
305,-1,0.1,l2,brute,25,1.0
306,0.0968306421633878,0.2,l2,brute,5,0.04625
307,0.37391313216264327,0.2,l2,brute,10,0.40375
308,0.5216722763867446,0.2,l2,brute,15,0.71875
309,0.8428169683514102,0.2,l2,brute,20,0.91625
310,-1,0.2,l2,brute,25,1.0
311,0.10551145323511579,0.3,l2,brute,5,0.000625
312,0.09364398124932814,0.3,l2,brute,10,0.03625
313,0.2619564796073074,0.3,l2,brute,15,0.161875
314,0.43548768942876404,0.3,l2,brute,20,0.393125
315,0.44680686019708676,0.3,l2,brute,25,0.594375
316,0.06547974238735041,0.4,l2,brute,5,0.0
317,0.06535461658580653,0.4,l2,brute,10,0.001875
318,0.06651135955043706,0.4,l2,brute,15,0.01
319,0.1947622793684552,0.4,l2,brute,20,0.03875
320,0.41405885194124115,0.4,l2,brute,25,0.156875
321,0.8204414882923589,0.1,manhattan,auto,5,0.76125
322,0.9863265187590117,0.1,manhattan,auto,10,0.985625
323,-1,0.1,manhattan,auto,15,1.0
324,-1,0.1,manhattan,auto,20,1.0
325,-1,0.1,manhattan,auto,25,1.0
326,0.3611333658365748,0.2,manhattan,auto,5,0.188125
327,0.5078362533473202,0.2,manhattan,auto,10,0.661875
328,0.857950658349554,0.2,manhattan,auto,15,0.938125
329,0.9698653599214957,0.2,manhattan,auto,20,0.97375
330,-1,0.2,manhattan,auto,25,1.0
331,-0.19330103801717322,0.3,manhattan,auto,5,0.0075
332,0.246196220616447,0.3,manhattan,auto,10,0.1775
333,0.39029281947549255,0.3,manhattan,auto,15,0.52875
334,0.4959429861777547,0.3,manhattan,auto,20,0.72375
335,0.6406477715378767,0.3,manhattan,auto,25,0.850625
